topology,write_policy,workload,read_p50_ms,read_p95_ms,read_p99_ms,write_p50_ms,write_p95_ms,write_p99_ms,throughput_ops_sec,hit_ratio,total_ops
Local,CacheAside,Read-Heavy (90R/10W),0.000,2.888,6.263,2.765,13.222,20.021,9332.6,0.7891,160000
Local,CacheAside,Write-Heavy (30R/70W),0.637,5.538,9.208,2.775,13.484,20.054,2328.5,0.3138,160000
Local,CacheAside,Mixed (50R/50W),0.047,5.018,8.765,2.783,13.476,20.136,2965.7,0.4897,160000
Local,WriteThrough,Read-Heavy (90R/10W),0.000,1.795,5.050,2.783,13.763,20.693,11473.3,0.8767,160000
Local,WriteThrough,Write-Heavy (30R/70W),0.001,1.682,5.046,2.789,13.533,20.414,2565.8,0.8825,160000
Local,WriteThrough,Mixed (50R/50W),0.001,1.747,5.292,2.951,13.804,21.348,3351.9,0.8830,160000
Local,WriteBack,Read-Heavy (90R/10W),0.000,1.801,6.013,0.000,0.001,0.003,28901.3,0.8761,160000
Local,WriteBack,Write-Heavy (30R/70W),0.000,1.719,6.013,0.000,8.790,17.285,5998.5,0.8826,160000
Local,WriteBack,Mixed (50R/50W),0.000,1.682,5.014,0.000,0.001,0.002,55403.8,0.8828,160000
Distributed,CacheAside,Read-Heavy (90R/10W),0.117,2.081,5.333,2.900,13.459,20.136,9823.1,0.8760,160000
Distributed,CacheAside,Write-Heavy (30R/70W),1.120,5.923,9.560,3.058,13.591,20.414,2130.2,0.3142,160000
Distributed,CacheAside,Mixed (50R/50W),0.449,5.497,9.241,3.052,13.640,20.365,2630.1,0.4971,160000
Distributed,WriteThrough,Read-Heavy (90R/10W),0.069,0.173,1.442,2.957,13.836,20.152,13794.7,0.9817,160000
Distributed,WriteThrough,Write-Heavy (30R/70W),0.202,0.417,1.700,3.045,13.615,20.365,2427.2,0.9825,160000
Distributed,WriteThrough,Mixed (50R/50W),0.157,0.348,1.901,2.994,13.894,20.529,3333.1,0.9818,160000
Distributed,WriteBack,Read-Heavy (90R/10W),0.113,0.166,1.371,0.113,0.160,0.191,51682.2,0.9824,160000
Distributed,WriteBack,Write-Heavy (30R/70W),0.142,0.374,1.562,0.144,8.057,15.335,6842.8,0.9830,160000
Distributed,WriteBack,Mixed (50R/50W),0.124,0.194,1.485,0.124,0.181,0.271,52466.4,0.9824,160000
Hybrid,CacheAside,Read-Heavy (90R/10W),0.000,2.265,5.566,3.039,13.910,20.414,10327.0,0.8013,160000
Hybrid,CacheAside,Write-Heavy (30R/70W),1.091,6.263,10.158,3.029,13.861,20.496,2127.8,0.3128,160000
Hybrid,CacheAside,Mixed (50R/50W),0.311,5.480,9.298,3.043,13.869,20.496,2705.0,0.4935,160000
Hybrid,WriteThrough,Read-Heavy (90R/10W),0.000,0.298,1.692,3.037,13.918,20.627,14984.7,0.8885,160000
Hybrid,WriteThrough,Write-Heavy (30R/70W),0.001,0.309,1.820,3.105,13.763,20.660,2435.0,0.8939,160000
Hybrid,WriteThrough,Mixed (50R/50W),0.001,0.297,1.747,3.090,13.664,20.480,3404.6,0.8939,160000
Hybrid,WriteBack,Read-Heavy (90R/10W),0.000,0.117,1.265,0.094,0.195,0.302,127692.5,0.8879,160000
Hybrid,WriteBack,Write-Heavy (30R/70W),0.000,0.186,1.451,0.153,8.057,15.442,6860.3,0.8939,160000
Hybrid,WriteBack,Mixed (50R/50W),0.000,0.135,1.297,0.122,0.168,0.195,85819.0,0.8943,160000
