topology,replicas,hit_ratio,throughput_ops_sec,p99_read_ms
Local,1,0.7545,1456.4,7.516
Local,2,0.7227,2627.9,6.930
Local,4,0.6725,4666.6,7.537
Local,8,0.6208,8028.7,7.537
Local,16,0.5662,14399.5,8.479
Local,32,0.4940,25153.6,8.487
Distributed,1,0.7545,940.9,7.979
Distributed,2,0.8215,2439.8,8.012
Distributed,4,0.8797,7666.1,7.836
Distributed,8,0.9309,22123.1,8.008
Distributed,16,0.9684,37544.7,7.979
Distributed,32,0.9901,47642.0,8.212
Hybrid,1,0.7545,1155.6,7.963
Hybrid,2,0.7676,2880.3,8.126
Hybrid,4,0.8186,7679.2,8.094
Hybrid,8,0.8862,24577.4,8.692
Hybrid,16,0.9374,61212.3,7.299
Hybrid,32,0.9691,74974.2,7.705
